Urdu text,Roman-Urdu text,category_id
بیٹھ جاؤ,beth jao,6
یہ کیا ہے؟,yeh kya hai?,7
ارے واہ!,aray wah!,8
معیشت کی صورتحال,maeeshat ki soorat haal,1
استغفراللہ,astaghfirullah,3
خاموش رہو,khamosh raho,6
کیسے ہو؟,kaisay ho?,7
کمال ہے!,kamal hai!,8
الیکشن کے نتائج,election ke nataej,1
الحمدللہ,alhamdulillah,3
چلیں!,chalein!,6
کس وقت؟,kis waqt?,7
اوہ ہو!,oh ho!,8
کھیلوں کی خبریں,khelon ki khabrain,1
بسم اللہ,bismillah,3
ادھر آؤ,idhar aao,6
کیوں؟,kyun?,7
زبردست!,zabardast!,8
سیاسی تجزیہ,siyasi tajzia,1
ان شاء اللہ,in sha Allah,3
دیکھو,dekho,6
کیا مطلب؟,kya matlab?,7
ہائے اللہ!,haaye Allah!,8
تعلیمی خبریں,taleemi khabrain,1
ماشااللہ,mashaAllah,3
رک جاؤ,ruk jao,6
کون ہے؟,kon hai?,7
اف!,uff!,8
صحت کی خبریں,sehat ki khabrain,1
سبحان اللہ,subhan Allah,3
کھڑے ہو جاؤ,kharay ho jao,6
کیا ہو رہا ہے؟,kya ho raha hai?,7
بڑی مشکل ہے!,bari mushkil hai!,8
انٹرنیشنل خبریں,international khabrain,1
جزاک اللہ,jazak Allah,3
چلو بھئی,chalo bhai,6
کیا بات ہے؟,kya baat hai?,7
آہ!,aah!,8
موسم کی خبریں,mausam ki khabrain,1
یا اللہ مدد,ya Allah madad,3
پانی لاؤ,pani lao,6
کہاں جانا ہے؟,kahan jana hai?,7
واہ بھئی واہ!,wah bhai wah!,8
ٹیکنالوجی کی خبریں,technology ki khabrain,1
لاحول ولا قوت,la hawla wala quwwata,3
آؤ,aao,6
کیا پوچھ رہے ہو؟,kya pooch rahe ho?,7
اوئی!,oii!,8
ثقافتی خبریں,saqafati khabrain,1
بسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,Bismillahir Rahmanir Raheem,3
مت کرو,mat karo,6
کب سے؟,kab se?,7
میں حیران ہوں!,mein hairan hun!,8
"نازنین ناز , اکتوبر 12 , 2011","nazneen naz , october 12 , 2011",5
واہ واہ واہ زبردست,wah wah wah zabardast,8
پھر کیسے پکڑتے ہیں,phir kaisay pakarte hain,7
سورہ البقرہ,surah al-baqrah,3
دانتوں کے چور,danoton ke chor,4
روسي کہانی,roosi kahani,6
"عسکری , جولائی 5 , 2012","askari , July 5 , 2012",5
"نبیل , جنوری 2 , 2008","nabeel , January 2 , 2008",5
میرا سورج,mera Sooraj,7
 آ گئی ہے جناب ! مگر پھر بھی بے ہوش ہی ہے ! , aa gayi hai janab ! magar phir bhi be hosh hi hai ! ,2
 آپ نہیں داخل ہوئے اس یتیم خانے میں !  بلقیس نے سنجیدگی سے پوچھا !, aap nahi dakhil hue is yateem khanay mein !  bilqees ne sanjeedgi se pucha !,2
 آپ ہی بتا دیجئے نا . بابا تو . , aap hi bata dijiye na . baba to . ,2
یہ شعر غالب کا ہے,yeh sher Ghalib ka hai,7
آج موسم بہت خوشگوار ہے,aaj mausam bohat khushgawar hai,4
خبروں کے مطابق...,khabron ke mutabiq...,0
نماز کا وقت ہو گیا ہے,namaz ka waqt ho gaya hai,3
جلدی کرو!,jaldi karo!,6
یہ کتاب پڑھو,yeh kitab parho,6
کیا حال ہے؟,kya haal hai?,2
بہت خوب!,bohat khoob!,8
پہلا، دوسرا، تیسرا,"pehla, doosra, teesra",9
کراچی کی خبریں,Karachi ki khabrain,0
جمعہ مبارک,Jumma Mubarak,3
چائے لاؤ,chai lao,6
تم کہاں تھے؟,tum kahan thay?,2
افسوس!,afsos!,8
الف، ب، پ,"alif, bay, pay",9
شام کے وقت,sham ke waqt,4
قرآن مجید,Quran Majeed,3
سنو!,suno!,6
آپ کا نام کیا ہے؟,aap ka naam kya hai?,2
واہ!,wah!,8
ایک، دو، تین,"aik, do, teen",9
تازہ ترین خبر,taza tareen khabar,0
درود شریف پڑھو,darood shareef parho,3
بیٹھ جاؤ,beth jao,6
یہ کیا ہے؟,yeh kya hai?,2
ارے واہ!,aray wah!,8
گھر، سکول، بازار,"ghar, school, bazaar",9
معیشت کی صورتحال,maeeshat ki soorat haal,0
استغفراللہ,astaghfirullah,3
خاموش رہو,khamosh raho,6
کیسے ہو؟,kaisay ho?,2
کمال ہے!,kamal hai!,8
پہاڑ، دریا، سمندر,"pahar, darya, samundar",9
الیکشن کے نتائج,election ke nataej,0
الحمدللہ,alhamdulillah,3
چلیں!,chalein!,6
کس وقت؟,kis waqt?,2
اوہ ہو!,oh ho!,8
دن، رات، صبح,"din, raat, subha",9
کھیلوں کی خبریں,khelon ki khabrain,0
بسم اللہ,bismillah,3
ادھر آؤ,idhar aao,6
کیوں؟,kyun?,2
زبردست!,zabardast!,8
بچہ، جوان، بوڑھا,"bacha, jawan, boorha",9
سیاسی تجزیہ,siyasi tajzia,0
ان شاء اللہ,in sha Allah,3
دیکھو,dekho,6
کیا مطلب؟,kya matlab?,2
ہائے اللہ!,haaye Allah!,8
چاند، ستارے، سورج,"chand, sitaray, sooraj",9
تعلیمی خبریں,taleemi khabrain,0
ماشااللہ,mashaAllah,3
رک جاؤ,ruk jao,6
کون ہے؟,kon hai?,2
اف!,uff!,8
کتاب، قلم، کاغذ,"kitab, qalam, kaghaz",9
صحت کی خبریں,sehat ki khabrain,0
سبحان اللہ,subhan Allah,3
کھڑے ہو جاؤ,kharay ho jaao,6
کیا ہو رہا ہے؟,kya ho raha hai?,2
بڑی مشکل ہے!,bari mushkil hai!,8
سیب، کیلا، آم,"saib, kela, aam",9
انٹرنیشنل خبریں,international khabrain,0
جزاک اللہ,jazak Allah,3
چلو بھئی,chalo bhai,6
کیا بات ہے؟,kya baat hai?,2
آہ!,aah!,8
کرسی، میز، بستر,"kursi, mez, bistar",9
موسم کی خبریں,mausam ki khabrain,0
یا اللہ مدد,ya Allah madad,3
پانی لاؤ,pani lao,6
کہاں جانا ہے؟,kahan jana hai?,2
واہ بھئی واہ!,wah bhai wah!,8
دروازہ، کھڑکی، دیوار,"darwaza, khirki, deewar",9
ٹیکنالوجی کی خبریں,technology ki khabrain,0
لاحول ولا قوت,la hawla wala quwwata,3
آؤ,aao,6
کیا پوچھ رہے ہو؟,kya pooch rahe ho?,2
اوئی!,oii!,8
پھول، پتہ، شاخ,"phool, patta, shaakh",9
ثقافتی خبریں,saqafati khabrain,0
بسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,Bismillahir Rahmanir Raheem,3
مت کرو,mat karo,6
کب سے؟,kab se?,2
میں حیران ہوں!,mein hairan hun!,8
آسمان، زمین، ہوا,"asman, zameen, hawa",9
تاریخ پاکستان,tarikh Pakistan,0
اردو ادب,urdu adab,7
کہانی سنو,kahani suno,6
اپارٹمنٹ کرایہ کے لئے,apartment kiraya ke liye,4
قرآن کی تفسیر,Quran ki tafseer,3
نئی فلم ریلیز,nai film release,2
صحت مند غذا,sehat mand ghiza,4
سپورٹس کار,sports car,1
آن لائن شاپنگ,online shopping,5
شاعری کیا ہے؟,shayari kya hai?,7
شور مت کرو,shore mat karo,6
کرکٹ ورلڈ کپ,cricket World Cup,1
فٹ بال میچ,football match,1
خبرنامہ,khabarnama,0
اذان ہو رہی ہے,azan ho rahi hai,3
دائیں طرف,daen taraf,6
کب تک انتظار؟,kab tak intizar?,7
اوہ مائی گاڈ!,oh my god!,8
فہرست اشیاء,fehrist ashiya,9
پاکستان سپر لیگ,Pakistan Super League,1
نماز فجر,namaz Fajr,3
ادھر دیکھیں,idhar dekhen,6
تمہارا نام؟,tumhara naam?,2
اف خدایا!,uff Khadaya!,8
پھل، سبزی، اناج,"phal, sabzi, anaj",9
عالمی منڈی,aalmi mandi,0
جمعہ کی نماز,Jumma ki namaz,3
واپس جاؤ,wapas jaao,6
کیا پوچھنا تھا؟,kya poochna tha?,2
ہائے!,haaye!,8
کپڑے، جوتے، ٹوپی,"kapray, jootay, topi",9
آج کا موسم,aaj ka mausam,4
دعا مانگو,dua maango,3
دھیان سے,dhyan se,6
کیسے کریں؟,kaisay karen?,7
بہت دکھ ہوا,bohat dukh hua,8
دنیا، آخرت,"duniya, akhirat",9
تازہ ترین سیاسی صورتحال,taza tareen siyasi soorat haal,0
رمضان مبارک,Ramzan Mubarak,3
اگلے صفحے پر جائیں,aglay safhay par jaen,6
کب آنا ہے؟,kab aana hai?,2
اے میرے رب!,Ay mere Rab!,8
پانی، ہوا، مٹی,"pani, hawa, mitti",9
صحت کے لیے,sehat ke liye,4
قرآنی آیات,Qurani ayaat,3
دیکھ بھال کرو,dekh bhal karo,6
کیا حال احوال ہیں؟,kya haal ahwal hain?,2
اوہ لا لا!,oh la la!,8
آدمی، عورت، بچہ,"aadmi, aurat, bacha",9
ظالم سماج آڑے آگیا ہوگا,  zalim samaaj usay agaya hoga5,5
چھی چھی,  chhe chhe2,2
میرا سورج,  mera Sooraj7,7
بریکنگ نیوز اردو,  breaking news Urdu0,0
فٹ بال کے قوانین,  football ke qanoon1,1
وزیراعظم کا خطاب,  wazir e azam ka khitab3,3
فلم کا ٹریلر,  film ka trailer2,2
ورزش کے فوائد,  warzish ke fawaid4,4
انٹرنیٹ سکیورٹی,  internet security5,5
دادی اماں کی کہانیاں,  dadi amman ki kahaniyan6,6
احمد فراز کی شاعری,  Ahmed Faraz ki shayari7,7
بس کا سفر,  bus ka safar8,8
مچھلی پکانے کی ترکیب,  machhli pakane ki tarkeeb9,9
تازہ خبریں سیاست,  taza khabrain siyasat0,0
کرکٹ کی تاریخ,  cricket ki tarikh1,1
ظالم سماج آڑے آگیا ہوگا,  zalim samaaj usay agaya hoga2,2
چھی چھی,  chhe chhe8,8
میرا سورج,  mera Sooraj0,0
یہیں سے اٹھے گا شور محشر,  yehیں se uthe ga shore mahshar0,0
یہیں عذاب و ثواب ہوگا,  yeہیں azab o sawab hoga0,0
کیا حال چال ہیں؟,  kya haal chaal hain?7,7
ماشاء اللہ کیا خوبصورتی ہے!,  mashaAllah kya khoobsurti hai!8,8
سعودی عرب سے خبریں,  Saudi Arabia se khabrain1,1
استغفر اللہ ربّی,  astaghfirullah rabbi3,3
کھڑے ہو جاؤ,  kharay ho jao6,6
کونسا راستہ؟,  konsa rasta?7,7
لا حول ولا قوة الا بالله!,  la hawla wala quwwata illa billah!8,8
تعلیم کے شعبے میں ترقی,  taleem ke shobay mein taraqqi1,1
انشاء اللہ سب ٹھیک ہوگا,  inshaAllah sab theek hoga3,3
آرام کرو,  aram karo6,6
کہاں سے آئے ہو؟,  kahan se aaye ho?7,7
اوہ میرے خدا!,  oh mere Khuda!8,8
تجارت کی خبریں,  tijarat ki khabrain1,1
الحمد للہ علی کل حال,  alhamdulillah ala kulli haal3,3
دائیں مڑو,  daen muro6,6
اب کیا کریں؟,  ab kya karen?7,7
کاش!,  kaash!8,8
انٹرٹینمنٹ کی خبریں,  entertainment ki khabrain1,1
استغفر اللہ العظيم,  astaghfirullah al-azee3,3
آگے بڑھو,  aagay barho6,6
کتنے بجے؟,  kitne bajay?7,7
اوہ!,  oh!8,8
عالمی خبریں,  aalmi khabrain1,1
ماشاء اللہ لا قوة الا بالله,  mashaAllah la quwwata illa billah3,3
واپس آؤ,  wapas aao6,6
کیا پوچھنا چاہتے ہو؟,  kya poochna chahte ho?7,7
اف خدایا!,  uff Khadaya!8,8
ماحولیات کی خبریں,  maholiyaat ki khabrain1,1
بسم اللہ الرحمن الرحیم,  Bismillahir Rahmanir Raheem3,3
دیر مت کرو,  deer mat karo6,6
کب تک؟,  kab tak?7,7
نا ممکن!,  na mumkin!,8
ظالم سماج آڑے آگیا ہوگا,zalim samaaj usay agaya hoga,2
چھی چھی,chhe chhe,8
میرا سورج,mera Sooraj,7
بریکنگ نیوز اردو,breaking news Urdu,0
فٹ بال کے قوانین,football ke qanoon,1
وزیراعظم کا خطاب,wazir e azam ka khitab,3
فلم کا ٹریلر,film ka trailer,2
ورزش کے فوائد,warzish ke fawaid,4
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
کرکٹ کی تاریخ,cricket ki tarikh,1
ظالم سماج آڑے آگیا ہوگا,zalim samaaj usay agaya hoga,2
چھی چھی,chhe chhe,8
میرا سورج,mera Sooraj,0
یہیں سے اٹھے گا شور محشر,yehین se uthe ga shore mahshar,0
یہیں عذاب و ثواب ہوگا,yehین azab o sawab hoga,0
کیا حال چال ہیں؟,kya haal chaal hain?,7
ماشاء اللہ کیا خوبصورتی ہے!,mashaAllah kya khoobsurti hai!,8
سعودی عرب سے خبریں,Saudi Arabia se khabrain,1
استغفر اللہ ربّی,astaghfirullah rabbi,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
ظالم سماج آڑے آگیا ہوگا,zalim samaaj usay agaya hoga,2
چھی چھی,chhe chhe,8
میرا سورج,mera Sooraj,7
خوشی کی خبریں,khushi ki khabrain,2
موسم کی پیشن گوئی,mausam ki pesh ngooi,4
فیشن کا نیا رجحان,fashion ka naya rujhaan,2
اسلامی تعلیم,islami taleem,3
کرکٹ کا میچ,cricket ka match,1
تازہ ترین خبریں,taza tarin khabrain,0
میرا دوست,mera dost,7
کیا کر رہے ہو؟,kya kar rahe ho?,7
خدا کے فضل سے,khuda ke fazl se,8
تعلیم کی اہمیت,taleem ki ahmiyat,3
ورزش کی اہمیت,warzish ki ahmiyat,4
صحت کے فوائد,sehat ke fawaid,4
انٹرنیٹ کی دنیا,internet ki duniya,5
سفر کی خبریں,safar ki khabrain,6
احمد فراز کی نظمیں,Ahmed Faraz ki nazmein,7
بریکنگ نیوز اردو,breaking news urdu,0
فلم کا ریویو,film ka review,2
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
کرکٹ کی تاریخ,cricket ki tarikh,1
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
خوشی کی خبریں,khushi ki khabrain,2
صحت کے لیے ورزش,sehat ke liye warzish,4
تعلیم کی اہمیت,taleem ki ahmiyat,3
کرکٹ کا میچ,cricket ka match,1
فلم کا ٹریلر,film ka trailer,2
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
خوشی کی خبریں,khushi ki khabrain,2
صحت کے لیے ورزش,sehat ke liye warzish,4
تعلیم کی اہمیت,taleem ki ahmiyat,3
کرکٹ کا میچ,cricket ka match,1
فلم کا ٹریلر,film ka trailer,2
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
انشاء اللہ سب ٹھیک ہوگا,inshaAllah sab theek hoga,3
آرام کرو,aram karo,6
کہاں سے آئے ہو؟,kahan se aaye ho?,7
اوہ میرے خدا!,oh mere Khuda!,8
تجارت کی خبریں,tijarat ki khabrain,1
الحمد للہ علی کل حال,alhamdulillah ala kulli haal,3
دائیں مڑو,daen muro,6
اب کیا کریں؟,ab kya karen?,7
کاش!,kaash!,8
انٹرٹینمنٹ کی خبریں,entertainment ki khabrain,1
استغفر اللہ العظيم,astaghfirullah al-azee,3
آگے بڑھو,aagay barho,6
کتنے بجے؟,kitne bajay?,7
اوہ!,oh!,8
عالمی خبریں,aalmi khabrain,1
ماشاء اللہ لا قوة الا بالله,mashaAllah la quwwata illa billah,3
واپس آؤ,wapas aao,6
کیا پوچھنا چاہتے ہو؟,kya poochna chahte ho?,7
اف خدایا!,uff Khadaya!,8
ماحولیات کی خبریں,maholiyaat ki khabrain,1
بسم اللہ الرحمن الرحیم,Bismillahir Rahmanir Raheem,3
دیر مت کرو,deer mat karo,6
کب تک؟,kab tak?,7
نا ممکن!,na mumkin!,8
خوشی کی خبریں,khushi ki khabrain,2
صحت کے لیے ورزش,sehat ke liye warzish,4
تعلیم کی اہمیت,taleem ki ahmiyat,3
کرکٹ کا میچ,cricket ka match,1
فلم کا ٹریلر,film ka trailer,2
انٹرنیٹ سکیورٹی,internet security,5
دادی اماں کی کہانیاں,dadi amman ki kahaniyan,6
احمد فراز کی شاعری,Ahmed Faraz ki shayari,7
بس کا سفر,bus ka safar,8
مچھلی پکانے کی ترکیب,machhli pakane ki tarkeeb,9
تازہ خبریں سیاست,taza khabrain siyasat,0
سعودی عرب سے خبریں,saudi arab se khabrain,1
اللہ اکبر,Allah Akbar,3
کھڑے ہو جاؤ,kharay ho jao,6
کونسا راستہ؟,konsa rasta?,7
لا حول ولا قوة الا بالله!,la hawla wala quwwata illa billah!,8
تعلیم کے شعبے میں ترقی,taleem ke shobay mein taraqqi,1
